"code_rome","libelle_rome","code_grand_domaine","libelle_grand_domaine","code_domaine_professionel","libelle_domaine_professionel"
"H3305","Conducteur / Conductrice de machines de conditionnement","H","Industrie","H33","Préparation et conditionnement"
"H3401","Opérateur / Opératrice de traitement d'abrasion de surface","H","Industrie","H34","Traitements thermiques et traitements de surfaces"
"H3402","Agent / Agente de traitement de surface","H","Industrie","H34","Traitements thermiques et traitements de surfaces"
"H3403","Opérateur / Opératrice de traitement thermique","H","Industrie","H34","Traitements thermiques et traitements de surfaces"
"H3404","Peintre industriel / Peintre industrielle","H","Industrie","H34","Traitements thermiques et traitements de surfaces"
"H3405","Polisseur / Polisseuse en bijouterie ou joaillerie ou orfèvrerie","H","Industrie","H34","Traitements thermiques et traitements de surfaces"
"H3406","Opérateur / Opératrice en polissage de bijouterie ou d'orfèvrerie","H","Industrie","H34","Traitements thermiques et traitements de surfaces"
"H3407","Metteur au bain / Metteuse au bain argenture - dorure en orfèvrerie","H","Industrie","H34","Traitements thermiques et traitements de surfaces"
"H3408","Metteur au point polisseur / Metteuse au point polisseuse sur matrice en orfèvrerie","H","Industrie","H34","Traitements thermiques et traitements de surfaces"
"I1101","Directeur / Directrice de la gestion technique des bâtiments","I","Installation et Maintenance","I11","Encadrement"
"I1102","Ingénieur / Ingénieure de maintenance industrielle","I","Installation et Maintenance","I11","Encadrement"
"I1103","Chef / Cheffe d'atelier après-vente des véhicules (auto, moto, VTR)","I","Installation et Maintenance","I11","Encadrement"
"I1104","Ingénieur / Ingénieure infrastructures télécoms réseaux mobiles","I","Installation et Maintenance","I11","Encadrement"
"I1105","Responsable de maintenance et d'exploitation","I","Installation et Maintenance","I11","Encadrement"
"I1106","Responsable de maintenance réseaux des territoires connectés","I","Installation et Maintenance","I11","Encadrement"
"I1107","Responsable d'atelier de mécanique parcs et jardins","I","Installation et Maintenance","I11","Encadrement"
"I1108","Chef / Cheffe d'atelier engins de chantier","I","Installation et Maintenance","I11","Encadrement"
"I1109","Responsable de parc de véhicules","I","Installation et Maintenance","I11","Encadrement"
"I1110","Chef / Cheffe d'atelier machines agricoles","I","Installation et Maintenance","I11","Encadrement"
"I1111","Responsable technique après-vente des véhicules","I","Installation et Maintenance","I11","Encadrement"
"I1112","Chef / Cheffe d'atelier engins de levage et de manutention","I","Installation et Maintenance","I11","Encadrement"
"I1113","Chef / Cheffe d'atelier en démontage recyclage de VHU","I","Installation et Maintenance","I11","Encadrement"
"I1114","Responsable de centre de contrôle technique de véhicules","I","Installation et Maintenance","I11","Encadrement"
"I1115","Responsable de site(s) de vente et de réparation cycles","I","Installation et Maintenance","I11","Encadrement"
"I1116","Responsable d'exploitation de stationnement","I","Installation et Maintenance","I11","Encadrement"
"I1117","Chef / Cheffe d'atelier après-vente cycles","I","Installation et Maintenance","I11","Encadrement"
"I1118","Responsable de site SMAVA (service multimarques de l'après-vente automobile)","I","Installation et Maintenance","I11","Encadrement"
"I1119","Responsable de centre de démontage recyclage des VHU","I","Installation et Maintenance","I11","Encadrement"
"I1201","Agent / Agente technique d'affichage","I","Installation et Maintenance","I12","Entretien technique"
"I1202","Agent / Agente d'exploitation de la voirie","I","Installation et Maintenance","I12","Entretien technique"
"I1203","Agent / Agente d'entretien du bâtiment","I","Installation et Maintenance","I12","Entretien technique"
"I1204","Agent / Agente d'entretien des piscines","I","Installation et Maintenance","I12","Entretien technique"
"I1205","Installateur vérificateur / Installatrice vérificatrice d'extincteurs","I","Installation et Maintenance","I12","Entretien technique"
"I1206","Chef / Cheffe d'équipe en mobilier urbain et publicitaire","I","Installation et Maintenance","I12","Entretien technique"
"I1207","Agent / Agente de maintenance de mobilier urbain et publicitaire","I","Installation et Maintenance","I12","Entretien technique"
"I1208","Patrouilleur autoroutier / Patrouilleuse autoroutière","I","Installation et Maintenance","I12","Entretien technique"
"I1209","Technicien / Technicienne d'installation de panneau digital","I","Installation et Maintenance","I12","Entretien technique"
"I1301","Ascensoriste","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1302","Technicien / Technicienne de maintenance d'installations automatisées","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1303","Technicien / Technicienne de maintenance de distributeurs automatiques","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1304","Technicien / Technicienne de maintenance industrielle","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1305","Technicien / Technicienne installation et maintenance électronique","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1306","Frigoriste","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1307","Antenniste","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1308","Chauffagiste","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1309","Electricien / Electricienne de maintenance","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1310","Mécanicien / Mécanicienne de maintenance industrielle","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1311","Technicien / Technicienne installation réseaux câblés fibre optique","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1312","Technicien / Technicienne réseaux mobiles","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1313","Hydraulicien industriel / Hydraulicienne industrielle","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1314","Monteur installateur / Monteuse installatrice d'équipements connectés","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1315","Monteur raccordeur / Monteuse raccordeuse fibre optique","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1316","Technicien / Technicienne de maintenance Chauffage, Ventilation et Climatisation - CVC","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1317","Technicien / Technicienne de maintenance fibre optique","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1318","Instrumentiste Industriel / Industrielle","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1319","Technicien / Technicienne de maintenance réseaux mobiles","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1320","Technicien / Technicienne de maintenance d'équipements connectés","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1321","Technicien / Technicienne de maintenance d'éoliennes","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1322","Technicien / Technicienne de maintenance des automates bancaires","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1323","Technicien / Technicienne de maintenance ferroviaire","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1324","Technicien / Technicienne d'installation d'équipements industriels","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1325","Technicien-cuisiniste / Technicienne-cuisiniste en cuisines professionnelles","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1326","Responsable d'équipe maintenance","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1327","Technicien / Technicienne de maintenance en matériel biomédical","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1328","Conseiller / Conseillère en hydraulique agricole","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1329","Technicien / Technicienne de maintenance en audio-vidéo professionnelle","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1330","Technicien / Technicienne d'installation de centrales téléphoniques","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1331","Nivoculteur / Nivocultrice","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1332","Chef / Cheffe d'atelier de maintenance industrielle","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1333","Chef / Cheffe d'équipe d'installation industrielle","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1334","Electronicien / Electronicienne de maintenance aéronautique","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1335","Electromécanicien / Electromécanicienne d'équipements industriels","I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I1401","Technicien / Technicienne de maintenance en informatique","I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I1402","Technicien / Technicienne de maintenance en appareils électroménagers","I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I1403","Technicien / Technicienne Datacenter","I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I1404","Conseiller / Conseillère support technique informatique","I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I1405","Administrateur / Administratrice bureautique","I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I1406","Superviseur / Superviseuse hot line en informatique","I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I1407","Réparateur / Réparatrice en produits de télécommunication et multimédia","I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I1408","Technicien-réparateur / Technicienne-réparatrice d'appareils photographiques","I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I1409","Agent / Agente de maintenance en bureautique","I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I1410","Responsable Service Après-Vente -SAV- en électroménager","I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I1501","Cordiste","I","Installation et Maintenance","I15","Travaux d'accès difficile"
"I1502","Scaphandrier / Scaphandrière","I","Installation et Maintenance","I15","Travaux d'accès difficile"
"I1503","Technicien / Technicienne en risques technologiques","I","Installation et Maintenance","I15","Travaux d'accès difficile"
"I1504","Décontaminateur / Décontamineuse nucléaire et radiologique","I","Installation et Maintenance","I15","Travaux d'accès difficile"
"I1505","Technicien / Technicienne déchet nucléaire","I","Installation et Maintenance","I15","Travaux d'accès difficile"
"I1506","Chef / Cheffe d'équipe cordiste","I","Installation et Maintenance","I15","Travaux d'accès difficile"
"I1507","Opérateur / Opératrice démantèlement nucléaire","I","Installation et Maintenance","I15","Travaux d'accès difficile"
"I1508","Désamianteur / Désamianteuse","I","Installation et Maintenance","I15","Travaux d'accès difficile"
"I1601","Préparateur / Préparatrice de bateau","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1602","Mécanicien / Mécanicienne avion","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1603","Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1604","Mécanicien / Mécanicienne automobile","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1605","Mécanicien / Mécanicienne en mécanique marine ou navale","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1606","Carrossier-peintre / Carrossière-peintre","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1607","Mécanicien / Mécanicienne motocycles","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1608","Démonteur / Démonteuse de véhicules hors d'usage","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1609","Peintre automobile","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1610","Responsable atelier carrosserie","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1611","Préparateur / Préparatrice de véhicules automobiles","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1612","Technicien expert / Technicienne experte après-vente automobile","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1613","Mécanicien / Mécanicienne des véhicules des transports routiers","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1614","Préparateur / Préparatrice en peinture automobile","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1615","Dépanneur-remorqueur / Dépanneuse-remorqueuse de véhicules","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1616","Mécanicien / Mécanicienne d'engins de chantier et de travaux publics","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1617","Contrôleur / Contrôleuse technique de véhicules","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1618","Mécanicien / Mécanicienne en matériels motorisés de parcs et jardins","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1619","Mécanicien / Mécanicienne cycles","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1620","Mécanicien-réparateur / Mécanicienne-réparatrice d'engins de levage et de manutention","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1621","Tôlier / Tôlière en carrosserie automobile","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1622","Technicien expert / Technicienne experte après-vente de véhicules de transport routier","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1623","Conseiller / Conseillère client après-vente des véhicules","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1624","Mécanicien réparateur / Mécanicienne réparatrice de véhicules anciens et historiques","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1625","Débosseleur / Débosseleuse","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1626","Préparateur / Préparatrice en tôlerie automobile","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1627","Technicien expert / Technicienne experte après vente motocycles","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1628","Conseiller / Conseillère technique cycles","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"I1629","Technicien / Technicienne de réparation et pose de vitrage des véhicules","I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"J1101","Médecin du travail et de prévention","J","Santé","J11","Praticiens médicaux"
"J1102","Médecin généraliste","J","Santé","J11","Praticiens médicaux"
"J1103","Dentiste","J","Santé","J11","Praticiens médicaux"
"J1104","Homme sage-femme / Sage-femme","J","Santé","J11","Praticiens médicaux"
"J1105","Médecin coordonnateur","J","Santé","J11","Praticiens médicaux"
"J1106","Responsable médical / Responsable médicale en région (RMR-MSL) en industrie pharmaceutique","J","Santé","J11","Praticiens médicaux"
"J1107","Médecin scolaire","J","Santé","J11","Praticiens médicaux"
"J1108","Médecin régulateur","J","Santé","J11","Praticiens médicaux"
"J1109","Médecin de la Protection Maternelle et Infantile -PMI-","J","Santé","J11","Praticiens médicaux"
"J1110","Médecin légiste","J","Santé","J11","Praticiens médicaux"
"J1111","Gynécologue","J","Santé","J11","Praticiens médicaux"
"J1112","Oncologue","J","Santé","J11","Praticiens médicaux"
"J1113","Dermatologue","J","Santé","J11","Praticiens médicaux"
"J1114","Rhumatologue","J","Santé","J11","Praticiens médicaux"
"J1115","Pédiatre","J","Santé","J11","Praticiens médicaux"
"J1116","Gériatre","J","Santé","J11","Praticiens médicaux"
"J1117","Hématologue","J","Santé","J11","Praticiens médicaux"
"J1118","Radiologue","J","Santé","J11","Praticiens médicaux"
"J1119","Chirurgien / Chirurgienne","J","Santé","J11","Praticiens médicaux"
"J1120","Médecin phlébologue","J","Santé","J11","Praticiens médicaux"
"J1121","Gastro-entérologue","J","Santé","J11","Praticiens médicaux"
"J1122","Chirurgien plasticien / Chirurgienne plasticienne","J","Santé","J11","Praticiens médicaux"
"J1123","Médecin des armées","J","Santé","J11","Praticiens médicaux"
"J1124","Médecin Anesthésiste Réanimateur / Réanimatrice (MAR)","J","Santé","J11","Praticiens médicaux"
"J1125","Endocrinologue","J","Santé","J11","Praticiens médicaux"
"J1126","Médecin du sport","J","Santé","J11","Praticiens médicaux"
"J1127","Médecin urgentiste","J","Santé","J11","Praticiens médicaux"
"J1128","Pneumologue","J","Santé","J11","Praticiens médicaux"
"J1129","Allergologue","J","Santé","J11","Praticiens médicaux"
"J1130","Oto-rhino-laryngologiste (ORL)","J","Santé","J11","Praticiens médicaux"
"J1131","Psychiatre","J","Santé","J11","Praticiens médicaux"
"J1132","Neurologue","J","Santé","J11","Praticiens médicaux"
"J1133","Stomatologue","J","Santé","J11","Praticiens médicaux"
"J1134","Ophtalmologue","J","Santé","J11","Praticiens médicaux"
"J1135","Urologue","J","Santé","J11","Praticiens médicaux"
"J1201","Biologiste médical / Biologiste médicale","J","Santé","J12","Praticiens médico-techniques"
"J1202","Pharmacien / Pharmacienne","J","Santé","J12","Praticiens médico-techniques"
"J1203","Directeur / Directrice de laboratoire d'analyses vétérinaires","J","Santé","J12","Praticiens médico-techniques"
"J1204","Directeur / Directrice de laboratoire d'analyses de biologie médicale","J","Santé","J12","Praticiens médico-techniques"
"J1301","Agent / Agente de service hospitalier (ASH)","J","Santé","J13","Professionnels médico-techniques"
"J1302","Technicien / Technicienne de laboratoires d'analyses médicales","J","Santé","J13","Professionnels médico-techniques"
"J1303","Assistant / Assistante médico-technique","J","Santé","J13","Professionnels médico-techniques"
"J1304","Auxiliaire de puériculture","J","Santé","J13","Professionnels médico-techniques"
"J1305","Ambulancier / Ambulancière","J","Santé","J13","Professionnels médico-techniques"
"J1306","Manipulateur / Manipulatrice d'électroradiologie médicale","J","Santé","J13","Professionnels médico-techniques"
"J1307","Préparateur / Préparatrice en pharmacie","J","Santé","J13","Professionnels médico-techniques"
"J1308","Brancardier / Brancardière","J","Santé","J13","Professionnels médico-techniques"
"J1309","Agent / Agente de stérilisation de service hospitalier","J","Santé","J13","Professionnels médico-techniques"
"J1310","Auxiliaire ambulancier / Auxiliaire ambulancière","J","Santé","J13","Professionnels médico-techniques"
"J1311","Transporteur / Transporteuse de produits de santé","J","Santé","J13","Professionnels médico-techniques"
"J1312","Assistant / Assistante dentaire","J","Santé","J13","Professionnels médico-techniques"
"J1401","Audioprothésiste","J","Santé","J14","Rééducation et appareillage"
"J1402","Diététicien / Diététicienne","J","Santé","J14","Rééducation et appareillage"
"J1403","Ergothérapeute","J","Santé","J14","Rééducation et appareillage"
"J1404","Kinésithérapeute","J","Santé","J14","Rééducation et appareillage"
"J1405","Opticien / Opticienne","J","Santé","J14","Rééducation et appareillage"
"J1406","Orthophoniste","J","Santé","J14","Rééducation et appareillage"
"J1407","Orthoptiste","J","Santé","J14","Rééducation et appareillage"
"J1408","Ostéopathe","J","Santé","J14","Rééducation et appareillage"
"J1409","Pédicure-podologue","J","Santé","J14","Rééducation et appareillage"
"J1410","Prothésiste dentaire","J","Santé","J14","Rééducation et appareillage"
"J1411","Orthoprothésiste","J","Santé","J14","Rééducation et appareillage"
"J1412","Psychomotricien / Psychomotricienne","J","Santé","J14","Rééducation et appareillage"
"J1413","Physiothérapeute","J","Santé","J14","Rééducation et appareillage"
"J1414","Coordinateur / Coordinatrice en activité physique adaptée","J","Santé","J14","Rééducation et appareillage"
"J1415","Enseignant / Enseignante en activité physique adaptée (EAPA)","J","Santé","J14","Rééducation et appareillage"
"J1501","Aide-soignant / Aide-soignante","J","Santé","J15","Soins paramédicaux"
"J1502","Cadre de santé d'unité de soins ou de service paramédical","J","Santé","J15","Soins paramédicaux"
"J1503","Infirmier / Infirmière anesthésiste (IADE)","J","Santé","J15","Soins paramédicaux"
"J1504","Infirmier / Infirmière de bloc opératoire (IBODE)","J","Santé","J15","Soins paramédicaux"
"J1505","Infirmier / Infirmière de prévention","J","Santé","J15","Soins paramédicaux"
"J1506","Infirmier / Infirmière en soins généraux (IDE)","J","Santé","J15","Soins paramédicaux"
"J1507","Puériculteur / Puéricultrice","J","Santé","J15","Soins paramédicaux"
"J1508","Infirmier / Infirmière en Pratique Avancée (IPA)","J","Santé","J15","Soins paramédicaux"
"J1509","Responsable de secteur coordinateur / Responsable de secteur coordinatrice","J","Santé","J15","Soins paramédicaux"
"J1510","Infirmier coordinateur / Infirmière coordinatrice (IDEC)","J","Santé","J15","Soins paramédicaux"
"J1511","Infirmier / Infirmière scolaire","J","Santé","J15","Soins paramédicaux"
"J1512","Infirmier / Infirmière de santé au travail","J","Santé","J15","Soins paramédicaux"
"K1101","Médiateur familial / Médiatrice familiale","K","Services à la personne et à la collectivité","K11","Accompagnement de la personne"
"K1102","Mandataire judiciaire à la protection des majeurs (MJPM)","K","Services à la personne et à la collectivité","K11","Accompagnement de la personne"
"K1103","Conseiller / Conseillère en développement personnel","K","Services à la personne et à la collectivité","K11","Accompagnement de la personne"
"K1104","Psychologue","K","Services à la personne et à la collectivité","K11","Accompagnement de la personne"
"K1105","Art thérapeute","K","Services à la personne et à la collectivité","K11","Accompagnement de la personne"
"K1106","Sophrologue","K","Services à la personne et à la collectivité","K11","Accompagnement de la personne"
"K1107","Conseiller / Conseillère d'orientation psychologue","K","Services à la personne et à la collectivité","K11","Accompagnement de la personne"
"K1108","Intervenant / Intervenante en médecine non conventionnelle","K","Services à la personne et à la collectivité","K11","Accompagnement de la personne"
"K1201","Assistant social / Assistante sociale","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1202","Educateur / Educatrice de jeunes enfants","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1203","Educateur technique spécialisé / Educatrice technique spécialisée","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1204","Médiateur social / Médiatrice sociale","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1205","Agent / Agente d'accueil social","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1206","Animateur coordinateur socioculturel / Animatrice coordinatrice socioculturelle","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1207","Educateur spécialisé / Educatrice spécialisée","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1208","Moniteur éducateur / Monitrice éducatrice","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1209","Coordonnateur / Coordonnatrice de projet socioéducatif","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1210","Educateur / Educatrice de la protection judiciaire de la jeunesse","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1211","Conseiller / Conseillère d'Insertion et de Probation -CIP-","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1212","Ministre du culte","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1213","Médiateur culturel / Médiatrice culturelle","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1214","Conseiller / Conseillère en génétique","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1215","Moniteur / Monitrice d'atelier en milieu de travail protégé","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1216","Responsable de structure multi accueil petite enfance","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1217","Animateur socioéducatif / Animatrice socioéducative","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1218","Responsable de maison de quartier","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1219","Directeur / Directrice de centre socioculturel","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1220","Médiateur / Médiatrice en santé","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1221","Ecoutant social / Ecoutante sociale","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1222","Coordinateur / Coordinatrice d'équipes de médiation","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1223","Technicien / Technicienne de l'administration pénitentiaire","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1224","Encadrant / Encadrante technique d'insertion socioprofessionnelle","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1225","Conseiller / Conseillère en économie sociale et familiale (CESF)","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1226","Chargé / Chargée de médiation interculturelle","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1227","Directeur / Directrice technique de l'administration pénitentiaire","K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K1301","Educateur / Educatrice en locomotion","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1302","Assistant / Assistante de vie dépendance","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1303","Garde d'enfant","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1304","Employé familial / Employée familiale","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1305","Technicien / Technicienne d'Intervention Sociale et Familiale (TISF)","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1306","Accompagnant Educatif et Social (AES) / Accompagnante Educative et Sociale (AES)","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1307","Animateur / Animatrice petite enfance","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1308","Agent territorial spécialisé / Agente territoriale spécialisée des écoles maternelles (ATSEM)","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1309","Assistant familial / Assistante familiale","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1310","Assistant maternel / Assistante maternelle","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1311","Assistant / Assistante de vie aux familles","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1312","Accueillant familial / Accueillante familiale thérapeutique auprès d'adultes","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1313","Employé / Employée au pair","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1314","Auxiliaire de vie sociale auprès d'enfants","K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K1401","Cadre Dirigeant / Dirigeante d'administration centrale","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1402","Médecin conseil","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1403","Directeur / Directrice de structure de santé, sociale ou pénitentiaire","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1404","Chargé / Chargée de mission développement territorial","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1405","Préfet / Préfète","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1406","Secrétaire de mairie","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1407","Directeur / Directrice d'établissement médicosocial","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1408","Responsable de secteur d'aide à domicile","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1409","Responsable de structure sanitaire et sociale","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1410","Directeur régional / Directrice régionale des services pénitentiaires","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1411","Médecin conseil en santé publique","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1412","Chargé / Chargée de mission aux relations internationales","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1413","Directeur / Directrice d'établissement à caractère social","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1414","Chargé / Chargée de mission santé publique","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1415","Directeur / Directrice d'établissement privé de santé","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1416","Directeur / Directrice des services pénitentiaires d'insertion et de probation (DSPIP)","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1417","Responsable des affaires générales","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K1418","Ambassadeur / Ambassadrice","K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
